ID	appareils_refrigerateur	appareils_machine_linge	appareils_seche_linge	appareils_lave_vaisselle	appareils_ordinateurs	nombre_voitures	travail_voiture	travail_moto	travail_transports_en_commun	travail_velo_marche	travail_train	transports_lents	transports_peu_accessibles	transports_peu_confortables	transports_peu_surs	transports_couteux	critere_origine	critere_biologique	achat_supermarche	achat_boutique	achat_reseaux_locaux	achat_marche	quotidien_lumieres	quotidien_machine_pleine	quotidien_lav_temperature	affirmations_terre_limitee	affirmations_env_modifiable	affirmations_desastre	affirmations_ingeniosite	affirmations_env_malmene	affirmations_droit	affirmations_crise_exageree	affirmations_crise_majeure	enjeu_climat	enjeu_air	enjeu_dechets	enjeu_eau	enjeu_disparition_especes	enjeu_pesticides	enjeu_centrales_nucleaires	enjeu_dechets_nucleaires	enjeu_ondes	actions_entreprises	actions_citoyens	actions_pouvoirs_publics	engagement_produits	engagement_impots	engagement_temps	politique_gauche_droite	habitat_TUU2014	demo_sexe	demo_diplome	demo_revenus	demo_age	ponderation
1	2	1	1	2	1	2	1	2	2	2	2	2	1	2	2	2	2	2	3	2	3	3	1	2	1	2	3	1	3	1	1	4	1	1	1	1	1	1	1	1	1	2	3	3	3	3	4	1	3	3	2	4	10	2	0.830359978326215
2	2	1	2	1	3	2	1	2	1	2	2	9	9	9	9	9	3	3	2	2	4	2	1	4	1	4	4	2	4	1	1	2	1	1	1	1	1	1	1	1	1	1	3	3	3	1	4	1	2	3	1	2	9	3	1.04662504319188
3	2	1	2	2	1	2	1	2	2	1	2	2	1	2	2	2	2	3	2	3	3	3	1	2	1	2	3	2	3	1	2	3	2	2	2	2	2	2	1	1	1	2	3	3	3	2	2	2	4	5	2	3	9	4	0.568310238902704
4	2	1	1	1	4	4	1	2	2	2	2	2	1	2	2	2	3	2	1	1	4	4	2	1	2	2	4	1	2	1	3	4	2	1	1	1	1	1	1	1	1	1	3	3	3	3	3	2	3	1	1	4	12	3	0.902338010847432
5	2	1	1	1	1	2	2	2	2	1	2	2	2	2	2	2	3	2	2	3	4	3	1	1	1	3	2	2	2	2	1	4	2	2	2	2	1	2	2	2	1	3	3	3	3	2	2	2	6	3	2	3	4	4	0.158407822415637
6	2	1	2	1	1	2	1	2	2	2	2	2	1	2	2	2	1	1	3	2	2	2	1	1	1	1	3	1	4	1	1	4	1	1	1	1	1	1	1	1	1	1	3	3	3	1	1	2	4	2	2	3	9	4	0.507802186606664
7	2	1	2	1	3	2	1	2	2	2	2	2	2	2	2	2	1	2	3	1	1	1	1	1	2	5	2	1	5	1	5	4	1	2	3	1	1	3	2	1	1	4	3	3	3	1	1	2	4	3	1	3	13	1	0.907165251637864
8	3	1	2	1	6	2	2	2	2	2	2	9	9	9	9	9	2	3	1	4	3	2	1	1	1	2	4	4	2	1	1	2	1	1	2	2	1	2	1	2	1	2	1	3	3	3	4	2	4	1	1	1	7	4	0.612846539633353
9	3	1	2	1	3	3	1	2	2	2	2	2	2	2	2	2	5	5	2	1	3	1	1	1	1	1	4	1	2	2	1	5	2	3	2	3	2	2	1	1	1	3	3	3	3	3	4	2	1	1	1	1	77	4	1.82117651171214
10	2	1	1	1	6	2	2	2	2	2	2	9	9	9	9	9	3	3	2	3	4	4	3	1	1	2	3	2	2	2	1	3	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	8	2	2	1	77	5	3.27705221910661
11	3	1	1	1	1	4	1	2	2	2	2	2	1	2	2	2	2	2	1	2	3	3	1	1	3	3	3	2	2	1	1	3	1	2	1	1	1	1	1	2	1	1	3	3	3	2	4	1	3	0	2	1	12	3	0.91656402143548
12	2	1	2	1	1	3	1	2	2	2	2	2	2	2	2	2	1	3	2	1	3	3	1	2	3	2	3	2	3	2	2	3	2	2	2	2	2	1	3	3	3	3	3	2	3	2	3	3	11	1	1	2	12	2	1.51070529486592
13	2	1	2	1	1	2	1	2	2	2	2	1	1	2	2	2	2	2	2	3	3	3	1	1	1	2	4	2	3	1	1	4	1	1	1	1	1	1	1	1	1	3	3	3	3	2	4	2	2	2	1	4	6	1	0.360097722097848
14	2	8	8	8	6	3	1	2	2	2	2	2	1	2	2	2	3	2	1	2	3	4	3	4	3	5	4	3	2	2	4	4	4	4	3	4	3	4	3	3	4	4	2	3	2	2	3	4	5	3	1	1	9	1	3.2682648878618
15	2	2	2	1	3	2	1	2	2	2	2	2	2	2	2	2	2	2	1	1	4	1	1	2	2	2	2	1	1	1	1	2	1	2	2	1	1	1	1	2	2	2	4	4	4	2	3	3	9	1	2	1	77	3	0.788265203764187
16	2	1	1	1	3	2	1	2	2	1	2	2	1	2	2	2	3	3	2	2	4	4	1	1	4	2	2	2	3	1	1	2	1	2	2	2	2	2	2	2	2	2	2	3	3	2	3	2	5	0	2	1	6	3	0.80396584862734
17	2	1	2	1	1	2	1	2	2	1	2	2	2	2	2	2	3	4	1	2	3	3	1	1	3	3	2	3	5	1	1	5	5	3	2	2	2	2	1	2	2	2	3	3	3	3	3	2	6	3	1	3	7	5	0.0359025894612394
18	2	1	1	1	4	2	2	2	2	2	2	2	2	2	2	2	2	2	1	3	4	3	3	1	1	1	2	2	3	1	1	4	2	2	1	1	1	2	1	2	1	1	3	3	2	1	3	2	6	2	2	2	9	1	5.88118884286075
